"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"RAB33A"	0.0932229227227241	0.000298313352712717	3.68066948380144	-0.0898778033779593	0.0841758345596642	"RAB33A"	"RAB33A"
"ZNF365"	0.0992816322367852	0.000332598575272645	-3.65096922416504	-0.190242099906826	-0.0793576633026123	"ZNF365"	"ZNF365"
"PEX11B"	0.0992816322367852	0.000334422340166013	-3.64947147308201	-0.195284552352777	-0.0685808962127559	"PEX11B"	"PEX11B"
"OAT"	0.107814922590786	0.000372245206418714	-3.62002900664354	-0.294040523771377	-0.0619977425422524	"OAT"	"OAT"
"MED24"	0.108971049834648	0.000385413397309911	3.61043711885853	-0.326062395843342	0.0724807884843988	"MED24"	"MED24"
"STX6"	0.118653952814415	0.000429652208085881	3.58032956926408	-0.42609036718773	0.035218075227848	"STX6"	"STX6"
"TM9SF4"	0.11987352477587	0.000444162954959014	-3.57108745452852	-0.45664841421004	-0.0563111121047979	"TM9SF4"	"TM9SF4"
"SCN1A"	0.122100134046442	0.000472618288218601	-3.5537599347596	-0.513752820585855	-0.107264430198623	"SCN1A"	"SCN1A"
"CABP2"	0.122100134046442	0.000472977361358847	3.55354761227414	-0.514451033177394	0.0461934831123958	"CABP2"	"CABP2"
"ACP1"	0.132142909561154	0.000524487895438996	3.52455595151429	-0.609443679952435	0.0447920940288306	"ACP1"	"ACP1"
"HPS6"	0.132142909561154	0.00053413555022614	-3.51942511647513	-0.626183678834931	-0.0741785364686889	"HPS6"	"HPS6"
"NPTN"	0.138879190310268	0.000595919186666787	-3.48849287393005	-0.726647798066359	-0.075631519505611	"NPTN"	"NPTN"
"SNX11"	0.138879190310268	0.000623401943527595	3.47569011921978	-0.768000172483391	0.0489121092835387	"SNX11"	"SNX11"
"UBE2D3"	0.138879190310268	0.000637581445218692	3.46929016643205	-0.788621320979418	0.0795202563627296	"UBE2D3"	"UBE2D3"
"DFNA5"	0.138879190310268	0.000638522858959426	-3.46886999318201	-0.789973975185304	-0.0750280644514521	"DFNA5"	"DFNA5"
"INADL"	0.138879190310268	0.00064177206931196	3.46742424634417	-0.794627126962457	0.0621223642451392	"INADL"	"INADL"
"CTSG"	0.138879190310268	0.000663405807923396	-3.4579695224281	-0.82501490357673	-0.0621657836953603	"CTSG"	"CTSG"
"NARS2"	0.138879190310268	0.00066918538746018	3.45549253741275	-0.832963858959048	0.0641232438111025	"NARS2"	"NARS2"
"POMT1"	0.138879190310268	0.000690012204561836	3.44672984665717	-0.861043908753077	0.071304509584201	"POMT1"	"POMT1"
"ZNF304"	0.138879190310268	0.00069826503785618	-3.44332590055594	-0.871934808446638	-0.0669274171927079	"ZNF304"	"ZNF304"
"COL11A2"	0.138879190310268	0.000705164932866411	-3.44050877143422	-0.880940973515855	-0.0422576786950185	"COL11A2"	"COL11A2"
"GPR52"	0.138879190310268	0.000737486440370181	3.42764661166524	-0.921977285290186	0.0694060654950259	"GPR52"	"GPR52"
"EFEMP1"	0.138879190310268	0.000740727326017253	-3.42638616729755	-0.925991352425301	-0.14389844658332	"EFEMP1"	"EFEMP1"
"HMGCS1"	0.138879190310268	0.000748295144329494	-3.42346286934539	-0.935295970579173	-0.0858925029157698	"HMGCS1"	"HMGCS1"
"DCLK1"	0.138879190310268	0.000748341407438937	-3.42344508403656	-0.935352558175651	-0.0974241836629846	"DCLK1"	"DCLK1"
"PPIF"	0.138879190310268	0.000753683177455198	3.42139838793123	-0.941862796321954	0.0572290688797436	"PPIF"	"PPIF"
"RGS4"	0.138879190310268	0.000754862877842863	-3.42094821627292	-0.943294261936056	-0.0754880860569442	"RGS4"	"RGS4"
"FABP6"	0.138879190310268	0.000763100056221811	3.41782314034344	-0.953226833421712	0.0743780647091329	"FABP6"	"FABP6"
"NMU"	0.138879190310268	0.000771875920882333	-3.4145282199924	-0.963690493833046	-0.0761317249517869	"NMU"	"NMU"
"SNRK"	0.144714067039268	0.00081771352526243	-3.39786788824497	-1.01646121896361	-0.0708242773449956	"SNRK"	"SNRK"
"ATG2B"	0.144714067039268	0.000836822010662479	3.3911792230684	-1.03758261296519	0.0544328695279805	"ATG2B"	"ATG2B"
"CEP110"	0.144714067039268	0.000840864894796591	-3.38978237812819	-1.04198887891995	-0.0486636837773241	"CEP110"	"CEP110"
"PTTG1IP"	0.15810647412239	0.000938310822826737	-3.35788265043345	-1.14217438908129	-0.0701368571457035	"PTTG1IP"	"PTTG1IP"
"NEURL"	0.15810647412239	0.000950739748596205	3.35403874250714	-1.15418968474923	0.0511599039276453	"NEURL"	"NEURL"
"RIC3"	0.15810647412239	0.000958624516784178	3.35162444860302	-1.16173001039344	0.0581478386661891	"RIC3"	"RIC3"
"VSNL1"	0.161114740324486	0.00100500614983973	-3.33778677197334	-1.20485433080632	-0.0936453436845857	"VSNL1"	"VSNL1"
"NUDT6"	0.161114740324486	0.0010084061420458	-3.33679598290402	-1.20793595411174	-0.0437357952617425	"NUDT6"	"NUDT6"
"AKT1"	0.161114740324486	0.00101756678099675	3.33414191090921	-1.21618681159681	0.0582360928756271	"AKT1"	"AKT1"
"LOC201229"	0.1614949131001	0.0010434531872805	-3.32676063060508	-1.23910254475679	-0.0758848587348976	"LOC201229"	"LOC201229"
"DCXR"	0.1614949131001	0.00105082634331203	3.32468947332815	-1.24552444876399	0.0608186322263626	"DCXR"	"DCXR"
"TTC31"	0.1614949131001	0.00107802143239373	3.31716557208244	-1.26882322649168	0.0465267648721635	"TTC31"	"TTC31"
"LMO2"	0.1614949131001	0.00110368923771166	-3.31022473696946	-1.29027458051481	-0.0960205477098801	"LMO2"	"LMO2"
"KLHL9"	0.1614949131001	0.0011123073723825	3.30792799989412	-1.29736402387273	0.0417585641291673	"KLHL9"	"KLHL9"
